Order_Date,Category,Product,Area,Channel,Payment_Method,Unit_Price_KES,Quantity,Discount_Pct,Revenue_KES,Customer_Rating,Units_Returned
02/10/2024,Electronics,Laptop,Kisumu,Mobile App,Bank Transfer,12534.6,4,10,45124.56,4,0
03/03/2023,Clothing,Jacket,Nairobi,In-Store,Credit Card,10946.73,3,0,32840.19,2.9,0
27/05/2024,Sports,Running Shoes,Nakuru,Online,Bank Transfer,41507.47,7,10,261497.06,3.8,0
21/11/2024,Sports,Yoga Mat,Nakuru,Mobile App,PayPal,15471.85,2,5,38215.463,3.9,1
05/07/2023,Home & Garden,Pillow Set,Nairobi,In-Store,Bank Transfer,41901.94,8,10,301693.97,5,0
04/12/2023,Books,Fiction Novel,Nakuru,Mobile App,Bank Transfer,1366.59,2,0,3553.134,3.7,0
29/04/2023,Books,Textbook,Machakos,Online,Bank Transfer,581.79,5,15,2472.61,4.9,0
29/09/2024,Sports,Swimming Goggles,Nairobi,Social Media,Bank Transfer,3819.72,9,15,29220.86,4.4,0
30/01/2023,Electronics,Laptop,Kisumu,In-Store,Cash,66841.18,8,0,534729.44,4.9,0
19/08/2023,Clothing,Boots,Mombasa,Mobile App,PayPal,657.26,7,0,4600.82,5,1
01/03/2024,Books,Fiction Novel,Thika,In-Store,Bank Transfer,3284.49,5,10,14780.2,4.6,2
13/03/2023,Clothing,Jacket,Eldoret,In-Store,Bank Transfer,2692.02,10,0,26920.2,3.2,0
02/06/2023,Books,Cookbook,Machakos,Mobile App,M-Pesa,1205.08,5,25,4519.05,3.6,0
08/08/2024,Home & Garden,Pillow Set,Machakos,Social Media,Bank Transfer,74681.9,4,5,283791.22,3.5,1
07/02/2023,Books,Fiction Novel,Kisumu,Social Media,Bank Transfer,1535.45,3,25,3454.76,2.8,1
28/05/2023,Home & Garden,Rug,Nairobi,Social Media,M-Pesa,42455.33,8,0,339642.64,3.5,0
03/12/2023,Clothing,T-Shirt,Nakuru,Mobile App,Cash,7667.48,7,0,69774.068,4.6,0
08/10/2024,Home & Garden,Wall Art,Thika,Social Media,PayPal,3643.21,2,5,6922.1,4.2,0
20/06/2023,Clothing,Boots,Nairobi,Social Media,M-Pesa,9244.25,2,25,13866.38,4.2,1
08/09/2023,Electronics,Tablet,Machakos,Online,Cash,55052.57,7,0,385367.99,3.8,0
24/05/2024,Clothing,Jeans,Mombasa,Online,PayPal,10514.66,10,5,99889.27,4.8,0
24/11/2024,Books,Comics,Kisumu,Social Media,Cash,2433.89,8,10,22781.213,2.7,1
29/01/2024,Sports,Running Shoes,Thika,Social Media,Cash,27736.05,5,5,131746.24,4.6,0
09/01/2023,Books,Biographies,Kisumu,Mobile App,Cash,370.21,7,10,2332.32,3.9,0
13/08/2023,Electronics,Smartwatch,Thika,Social Media,Cash,116809.66,4,15,397152.84,4.1,0
15/05/2023,Clothing,Boots,Nairobi,Online,Cash,9569.02,1,15,8133.67,2.7,0
18/06/2023,Books,Self-Help Book,Mombasa,In-Store,PayPal,3104.67,6,10,16765.22,3.1,0
20/08/2023,Books,Textbook,Kisumu,Mobile App,M-Pesa,1798.66,2,0,3597.32,4.7,0
03/07/2024,Books,Textbook,Machakos,Mobile App,M-Pesa,2830.18,1,10,2547.16,2.8,0
26/09/2024,Home & Garden,Pillow Set,Nakuru,Mobile App,M-Pesa,54247.06,8,0,433976.48,4.7,0
30/04/2023,Sports,Dumbbells,Thika,Online,Bank Transfer,54617.63,5,20,218470.52,2.8,1
09/04/2024,Home & Garden,Coffee Maker,Nairobi,Online,Credit Card,71070.94,3,20,170570.26,3.4,1
14/10/2023,Sports,Bicycle,Eldoret,In-Store,Bank Transfer,39502.36,8,20,252815.1,2.6,0
04/03/2023,Books,Science Book,Mombasa,Mobile App,M-Pesa,3438.97,6,15,17538.75,3.5,0
21/02/2023,Electronics,Speaker,Machakos,Social Media,M-Pesa,100089.77,10,0,1000897.7,4.5,0
23/08/2024,Clothing,Hoodie,Eldoret,In-Store,M-Pesa,10042.91,9,5,85866.88,3,1
07/07/2024,Home & Garden,Rug,Mombasa,Online,Cash,68785.77,3,0,206357.31,3.1,0
29/09/2023,Electronics,Laptop,Nairobi,Mobile App,Credit Card,89150.23,1,0,89150.23,2.6,0
07/04/2024,Sports,Yoga Mat,Thika,Online,Bank Transfer,27227.55,6,0,163365.3,3.8,1
05/05/2024,Electronics,Camera,Machakos,Mobile App,Bank Transfer,97214.42,1,0,97214.42,4.6,0
09/03/2023,Electronics,Headphones,Thika,Social Media,M-Pesa,135091.48,6,0,810548.88,2.8,0
09/04/2024,Sports,Tennis Racket,Thika,Mobile App,Bank Transfer,59680.89,9,10,483415.21,3.8,0
14/12/2023,Electronics,Speaker,Thika,In-Store,Bank Transfer,68830.13,4,20,286333.346,3.5,0
04/04/2023,Home & Garden,Coffee Maker,Kisumu,Mobile App,Cash,76324.53,8,0,610596.24,4.6,0
17/11/2024,Electronics,Camera,Thika,Mobile App,Credit Card,84342.87,10,15,716914.39,3.4,0
14/08/2024,Books,Textbook,Thika,Online,Cash,2221.31,6,0,13327.86,3.8,0
13/10/2023,Books,Self-Help Book,Machakos,Online,Cash,3005.19,6,0,18031.14,3.9,0
04/07/2023,Sports,Swimming Goggles,Machakos,Online,PayPal,55787.61,5,0,278938.05,3.2,0
26/05/2023,Home & Garden,Blender,Nairobi,In-Store,Credit Card,45652.63,7,0,319568.41,4.4,2
14/01/2024,Electronics,Camera,Eldoret,In-Store,Bank Transfer,64135.21,6,0,384811.26,3.3,0
21/11/2024,Sports,Tennis Racket,Nairobi,Online,Credit Card,9950.15,10,0,99501.5,3.6,0
16/03/2024,Sports,Bicycle,Nakuru,Mobile App,Credit Card,45443.62,2,15,77254.15,2.8,0
08/01/2023,Sports,Bicycle,Eldoret,Mobile App,M-Pesa,13698.8,10,0,136988,3,1
29/06/2023,Clothing,Hoodie,Kisumu,Mobile App,Cash,1879.82,8,20,12030.85,2.8,0
20/01/2023,Clothing,Sneakers,Eldoret,Mobile App,M-Pesa,5066.32,1,20,4053.06,3.6,0
29/11/2023,Home & Garden,Pillow Set,Nakuru,Social Media,Bank Transfer,23729.6,7,0,166107.2,4.9,0
10/02/2024,Home & Garden,Sofa,Nakuru,Online,Credit Card,35305.58,7,0,247139.06,4.7,0
24/12/2023,Clothing,Dress,Machakos,In-Store,M-Pesa,6370.56,2,5,12104.06,4.9,0
02/11/2024,Clothing,Jeans,Nairobi,In-Store,Cash,2768.63,10,0,27686.3,4.9,0
04/10/2024,Books,Textbook,Eldoret,Social Media,PayPal,2357.57,10,15,20039.35,3.3,0
14/11/2023,Books,Science Book,Thika,Mobile App,Cash,2192.54,6,0,17101.812,2.6,0
17/08/2024,Home & Garden,Sofa,Thika,Online,PayPal,47851.12,7,25,251218.38,3.9,0
05/03/2023,Electronics,Headphones,Machakos,In-Store,Cash,91540.86,9,0,823867.74,3.6,0
20/06/2024,Home & Garden,Wall Art,Nairobi,In-Store,M-Pesa,20421.3,8,25,122527.8,3.8,0
09/03/2023,Home & Garden,Blender,Nakuru,Social Media,Cash,54568.7,1,15,46383.39,3.3,0
14/11/2023,Books,Cookbook,Kisumu,In-Store,Cash,560.81,3,15,1859.091,4.2,0
17/11/2024,Sports,Football,Nairobi,Mobile App,PayPal,22974.75,6,0,179203.05,4.9,2
04/07/2023,Sports,Yoga Mat,Thika,Social Media,PayPal,22092.59,6,10,119299.99,4.9,0
08/11/2024,Books,Self-Help Book,Mombasa,In-Store,Credit Card,546.93,2,0,1093.86,4.4,0
14/02/2023,Books,Self-Help Book,Mombasa,In-Store,PayPal,2888.94,3,25,6500.11,3.5,0
25/04/2024,Clothing,Jacket,Eldoret,Mobile App,Bank Transfer,3191.03,4,10,11487.71,4.8,0
24/07/2023,Sports,Bicycle,Nakuru,Mobile App,Bank Transfer,30472.66,7,0,213308.62,4.5,0
19/10/2023,Home & Garden,Sofa,Thika,Social Media,Cash,44719.63,2,0,89439.26,2.7,0
24/12/2023,Books,Biographies,Mombasa,Social Media,M-Pesa,3328.52,4,25,12981.228,3.5,0
27/10/2024,Home & Garden,Desk Lamp,Nakuru,Online,Cash,18583.47,6,0,111500.82,3.3,0
22/09/2024,Electronics,Tablet,Machakos,Social Media,Credit Card,114308.49,8,25,685850.94,2.5,0
24/04/2023,Home & Garden,Desk Lamp,Machakos,In-Store,PayPal,75265.9,10,20,602127.2,4.4,0
03/09/2024,Electronics,Smartphone,Mombasa,Social Media,PayPal,69652.82,2,25,104479.23,3.8,0
04/09/2023,Sports,Dumbbells,Thika,In-Store,Cash,26096.79,10,15,221822.72,3.9,0
04/02/2024,Electronics,Smartwatch,Kisumu,Online,PayPal,82524.13,9,0,742717.17,4.7,0
03/11/2024,Books,Cookbook,Kisumu,Online,Cash,2823.26,6,5,20920.354,4.4,0
13/12/2024,Home & Garden,Desk Lamp,Nairobi,Mobile App,PayPal,27612.94,3,25,80767.843,3,0
14/11/2023,Books,Fiction Novel,Kisumu,In-Store,M-Pesa,2831.55,1,15,3128.866,5,0
07/10/2023,Home & Garden,Sofa,Machakos,In-Store,Cash,29072.35,1,15,24711.5,2.8,0
12/01/2024,Books,Comics,Nakuru,Social Media,Cash,3415.92,8,25,20495.52,4.8,0
25/11/2023,Electronics,Camera,Nakuru,Online,Bank Transfer,91163.09,3,10,246140.34,3.3,0
13/02/2023,Books,Biographies,Thika,Social Media,Credit Card,2507.25,6,25,11282.62,4.3,1
09/06/2024,Sports,Bicycle,Kisumu,Online,M-Pesa,40468.32,7,15,240786.5,4.5,0
06/01/2024,Electronics,Laptop,Machakos,Social Media,M-Pesa,20682.04,4,15,70318.94,3.5,0
26/06/2024,Sports,Dumbbells,Thika,Social Media,Cash,22697.59,2,0,45395.18,3.4,0
26/09/2023,Home & Garden,Desk Lamp,Nairobi,Online,Credit Card,40324.28,7,0,282269.96,4.4,0
26/06/2023,Clothing,Sneakers,Kisumu,Social Media,Credit Card,1910.33,2,25,2865.49,4.7,0
04/11/2023,Electronics,Speaker,Thika,Mobile App,Cash,107011.99,9,10,1126836.256,4.3,1
20/05/2024,Clothing,Hoodie,Kisumu,In-Store,M-Pesa,11829.02,3,5,33712.71,2.6,0
12/02/2024,Home & Garden,Coffee Maker,Machakos,In-Store,PayPal,70832.32,2,10,127498.18,5,0
05/04/2024,Sports,Bicycle,Machakos,Social Media,PayPal,4980.79,6,0,29884.74,3.7,0
14/06/2024,Clothing,Hoodie,Machakos,In-Store,Credit Card,5475.11,1,0,5475.11,2.9,0
21/07/2023,Home & Garden,Wall Art,Mombasa,Mobile App,PayPal,71678.13,2,10,129020.63,4.1,0
25/06/2023,Clothing,Boots,Kisumu,Online,PayPal,7871.36,10,0,78713.6,4.1,0
28/10/2024,Sports,Running Shoes,Machakos,Online,M-Pesa,5424.64,10,10,48821.76,3,0
08/09/2023,Sports,Football,Nairobi,Social Media,PayPal,17806.5,5,25,66774.38,4.5,0
28/07/2023,Home & Garden,Coffee Maker,Nairobi,Online,Credit Card,35616.76,8,25,213700.56,3.4,0
23/11/2023,Home & Garden,Wall Art,Machakos,Mobile App,Bank Transfer,11156.68,6,0,66940.08,2.8,0
13/06/2023,Clothing,T-Shirt,Nairobi,Mobile App,Bank Transfer,10437.88,7,5,69411.9,4.5,1
12/11/2023,Home & Garden,Desk Lamp,Machakos,In-Store,Bank Transfer,79680.78,8,25,621510.084,2.7,0
20/10/2023,Books,Self-Help Book,Mombasa,Mobile App,M-Pesa,461.73,8,25,2770.38,3.8,0
06/08/2024,Books,Self-Help Book,Kisumu,Mobile App,Bank Transfer,1471,7,0,10297,3.9,0
12/05/2023,Home & Garden,Sofa,Nakuru,Social Media,PayPal,22953.88,10,0,229538.8,4.9,0
16/02/2023,Home & Garden,Pillow Set,Kisumu,In-Store,Credit Card,48515.07,7,0,339605.49,2.6,0
19/09/2024,Books,Biographies,Nakuru,In-Store,PayPal,3158.02,3,15,8052.95,3.3,0
26/12/2024,Sports,Football,Machakos,Mobile App,PayPal,20580.58,9,25,180594.596,3.7,0
29/09/2023,Home & Garden,Wall Art,Nairobi,Social Media,PayPal,25168.08,1,25,18876.06,4.9,0
01/06/2023,Sports,Tennis Racket,Mombasa,Online,PayPal,29138.66,9,20,209798.35,4.6,0
27/02/2024,Sports,Football,Nairobi,In-Store,M-Pesa,26797.69,7,0,187583.83,4.2,0
09/11/2024,Sports,Bicycle,Machakos,Online,Credit Card,31409.78,9,15,312370.266,3.4,1
13/10/2023,Books,Biographies,Kisumu,Mobile App,Cash,2252.25,4,5,8558.55,3.9,0
22/10/2023,Home & Garden,Rug,Kisumu,In-Store,Bank Transfer,25909.63,6,10,139912,2.8,0
21/12/2023,Books,Science Book,Machakos,Mobile App,Credit Card,1229.45,5,0,7991.425,4.1,0
22/09/2024,Clothing,Jeans,Machakos,Mobile App,PayPal,8505.97,3,0,25517.91,4.4,0
28/04/2024,Electronics,Camera,Eldoret,In-Store,Credit Card,9768.68,7,15,58123.65,2.8,0
25/11/2023,Electronics,Smartwatch,Mombasa,Social Media,Bank Transfer,72662.38,4,10,261584.57,2.6,0
11/02/2024,Sports,Dumbbells,Eldoret,Online,Credit Card,25422.37,3,0,76267.11,4.5,0
10/04/2024,Home & Garden,Sofa,Nairobi,Mobile App,PayPal,48540.41,6,10,262118.21,5,0
16/06/2023,Books,Self-Help Book,Machakos,Social Media,Cash,917,2,15,1558.9,4.3,0
17/09/2024,Clothing,T-Shirt,Thika,Mobile App,Cash,7029.48,4,0,28117.92,4.6,1
03/05/2024,Books,Biographies,Kisumu,Online,Bank Transfer,2441.62,3,0,7324.86,3.3,0
25/09/2023,Home & Garden,Coffee Maker,Mombasa,Social Media,Cash,76359.56,5,0,381797.8,4.1,0
07/12/2024,Electronics,Camera,Nairobi,Social Media,Cash,25638.09,9,10,207668.53,4.8,0
01/03/2024,Sports,Dumbbells,Mombasa,In-Store,Bank Transfer,9699.22,10,15,82443.37,4.3,1
22/06/2024,Sports,Swimming Goggles,Thika,In-Store,Credit Card,41012.31,10,0,410123.1,3.6,0
18/06/2023,Electronics,Smartwatch,Nairobi,Online,PayPal,135627.45,4,0,542509.8,3.3,0
09/04/2024,Electronics,Camera,Mombasa,Social Media,M-Pesa,135035.62,8,0,1080284.96,2.8,0
04/01/2023,Sports,Yoga Mat,Eldoret,Social Media,Cash,43562.84,7,10,274445.89,4.4,0
02/02/2023,Electronics,Headphones,Kisumu,Online,PayPal,149130.3,2,25,223695.45,3.2,0
22/01/2024,Clothing,Hoodie,Thika,Social Media,Cash,11917.85,7,25,62568.71,3.4,0
25/06/2024,Sports,Dumbbells,Thika,Mobile App,M-Pesa,11201.33,9,20,80649.58,2.8,2
28/06/2024,Electronics,Speaker,Nairobi,Mobile App,Bank Transfer,101677.98,9,20,732081.46,3.4,0
07/11/2024,Books,Cookbook,Mombasa,Mobile App,Credit Card,3299.71,2,0,8579.246,4.4,1
08/09/2023,Electronics,Laptop,Mombasa,Online,M-Pesa,89903.73,8,0,719229.84,4.4,0
12/08/2024,Clothing,Sneakers,Mombasa,Online,Credit Card,6294.8,5,5,29900.3,3.3,0
04/03/2023,Home & Garden,Desk Lamp,Kisumu,In-Store,PayPal,18306.59,5,10,82379.65,3.9,0
21/06/2024,Clothing,Boots,Thika,Social Media,PayPal,6199.64,6,20,29758.27,3.3,0
25/12/2024,Clothing,Dress,Nakuru,In-Store,PayPal,5945.47,4,10,21403.69,3.7,0
24/10/2024,Books,Science Book,Eldoret,In-Store,Bank Transfer,1077.15,4,15,3662.31,2.7,0
16/03/2023,Home & Garden,Sofa,Eldoret,In-Store,M-Pesa,22062.16,10,0,220621.6,3,0
14/07/2023,Sports,Dumbbells,Nakuru,In-Store,Cash,18609.37,1,5,17678.9,4.9,0
17/10/2023,Books,Self-Help Book,Thika,In-Store,Bank Transfer,3228.4,9,15,24697.26,3.5,0
25/04/2024,Home & Garden,Blender,Kisumu,Mobile App,PayPal,70718.71,8,0,565749.68,4.4,0
17/01/2023,Clothing,Dress,Kisumu,Social Media,M-Pesa,6969.03,4,0,27876.12,3.2,1
06/08/2024,Sports,Football,Nakuru,Mobile App,Credit Card,12253.79,4,20,39212.13,4.6,0
24/05/2023,Home & Garden,Blender,Machakos,Social Media,Bank Transfer,37297.66,6,0,223785.96,4.3,0
27/02/2024,Sports,Football,Nairobi,Online,M-Pesa,56744.17,1,0,56744.17,2.8,0
24/09/2024,Electronics,Camera,Mombasa,Online,Credit Card,76848.47,6,0,461090.82,4.1,1
18/01/2023,Books,Comics,Nakuru,Online,M-Pesa,2003.08,7,0,14021.56,3.8,0
04/09/2023,Home & Garden,Sofa,Eldoret,Social Media,Credit Card,9275.7,2,0,18551.4,3,0
01/08/2024,Home & Garden,Blender,Machakos,Social Media,M-Pesa,30345.69,7,25,159314.87,3.1,0
19/07/2024,Home & Garden,Wall Art,Machakos,Online,M-Pesa,8205.24,7,20,45949.34,3.7,0
24/08/2023,Clothing,T-Shirt,Nakuru,Social Media,Cash,7007.35,2,0,14014.7,3,1
03/07/2023,Sports,Bicycle,Kisumu,Online,M-Pesa,41255.07,5,0,206275.35,4.8,0
03/08/2024,Clothing,Sneakers,Mombasa,Social Media,M-Pesa,3941.68,10,5,37445.96,4.6,0
11/04/2023,Sports,Running Shoes,Nakuru,In-Store,M-Pesa,30347.1,6,0,182082.6,3.6,0
17/05/2024,Home & Garden,Pillow Set,Machakos,Social Media,Cash,3146.35,5,25,11798.81,3.1,0
31/12/2024,Books,Science Book,Mombasa,Social Media,M-Pesa,2770.94,5,5,13161.97,3.2,0
31/03/2024,Clothing,Boots,Nakuru,Mobile App,Cash,1725.34,1,10,1552.81,3.4,0
16/04/2023,Clothing,T-Shirt,Mombasa,Social Media,Bank Transfer,6905.33,9,20,49718.38,2.6,0
28/03/2023,Electronics,Smartwatch,Eldoret,Mobile App,Bank Transfer,3826.41,7,20,21427.9,4.3,0
02/10/2023,Clothing,Sneakers,Eldoret,In-Store,Bank Transfer,2449.27,5,10,11021.72,3.7,0
10/09/2023,Books,Cookbook,Nakuru,Mobile App,Bank Transfer,2804.53,6,10,15144.46,4.3,0
27/09/2024,Sports,Dumbbells,Nakuru,Online,Credit Card,18696.68,7,15,111245.25,3.4,1
18/11/2023,Books,Cookbook,Nakuru,In-Store,Cash,1326.13,4,25,3978.39,3.5,0
27/04/2023,Books,Biographies,Machakos,In-Store,Cash,1503.38,7,15,8945.11,4.8,0
26/10/2023,Sports,Dumbbells,Thika,Online,Bank Transfer,56612.71,4,25,169838.13,4.6,0
22/01/2024,Books,Comics,Nakuru,In-Store,Cash,1074.47,3,20,2578.73,2.7,2
22/04/2023,Books,Biographies,Nakuru,Social Media,PayPal,417.65,6,0,2505.9,4.4,0
16/03/2024,Home & Garden,Desk Lamp,Thika,Online,PayPal,78701.77,7,15,468275.53,2.8,0
20/12/2023,Clothing,Sneakers,Thika,In-Store,Bank Transfer,4802.38,8,0,49944.752,3.7,0
17/06/2024,Electronics,Smartphone,Machakos,In-Store,Cash,48159.77,8,5,366014.25,3.7,0
24/01/2023,Books,Comics,Thika,Social Media,Cash,514.96,1,0,514.96,4.6,0
18/04/2024,Clothing,Boots,Mombasa,In-Store,PayPal,2341.56,9,20,16859.23,3.1,0
05/04/2024,Clothing,Jeans,Thika,Social Media,Bank Transfer,835.71,10,5,7939.24,4,0
10/01/2024,Clothing,Jeans,Kisumu,Online,PayPal,1670.15,9,0,15031.35,3.3,0
17/09/2024,Home & Garden,Wall Art,Machakos,Social Media,PayPal,77300.58,6,20,371042.78,3.5,0
19/11/2024,Home & Garden,Rug,Nakuru,In-Store,Cash,73559.66,10,0,735596.6,2.8,0
11/08/2024,Clothing,Dress,Thika,In-Store,PayPal,4967.33,10,0,49673.3,3.5,0
11/07/2023,Sports,Football,Thika,In-Store,PayPal,10511.81,5,0,52559.05,3.3,0
